"sito","area","us","start","end","lab_code","source"
"Villa Romana di Poggio Gramignano","1",21,126,300,"OxA-V001","oxcal"
"Villa Romana di Poggio Gramignano","1",133,126,316,"OxA-V002","oxcal"
"Villa Romana di Poggio Gramignano","1",76,256,530,"OxA-V003","oxcal"
"Villa Romana di Poggio Gramignano","1",72,430,560,"OxA-V004","oxcal"
"Villa Romana di Poggio Gramignano","1",89,420,546,"OxA-V005","oxcal"
"Villa Romana di Poggio Gramignano","1",102,430,566,"OxA-V006","oxcal"
"Villa Romana di Poggio Gramignano","1",104,420,550,"OxA-V007","oxcal"
"Villa Romana di Poggio Gramignano","1",105,420,540,"OxA-V008","oxcal"
"Villa Romana di Poggio Gramignano","1",108,430,566,"OxA-V009","oxcal"
"Villa Romana di Poggio Gramignano","1",111,386,560,"OxA-V010","oxcal"
"Villa Romana di Poggio Gramignano","1",114,436,576,"OxA-V011","oxcal"
"Villa Romana di Poggio Gramignano","1",116,416,546,"OxA-V012","oxcal"
