"sito","area","us","c14_bp","c14_error","lab_code"
"Villa Romana di Poggio Gramignano","1",21,1850,30,"OxA-V001"
"Villa Romana di Poggio Gramignano","1",133,1840,35,"OxA-V002"
"Villa Romana di Poggio Gramignano","1",76,1680,35,"OxA-V003"
"Villa Romana di Poggio Gramignano","1",72,1570,30,"OxA-V004"
"Villa Romana di Poggio Gramignano","1",89,1585,30,"OxA-V005"
"Villa Romana di Poggio Gramignano","1",102,1560,30,"OxA-V006"
"Villa Romana di Poggio Gramignano","1",104,1590,35,"OxA-V007"
"Villa Romana di Poggio Gramignano","1",105,1600,30,"OxA-V008"
"Villa Romana di Poggio Gramignano","1",108,1565,30,"OxA-V009"
"Villa Romana di Poggio Gramignano","1",111,1610,40,"OxA-V010"
"Villa Romana di Poggio Gramignano","1",114,1555,30,"OxA-V011"
"Villa Romana di Poggio Gramignano","1",116,1600,35,"OxA-V012"
