us,area,settore,periodo_iniziale,fase_iniziale,periodo_finale,fase_finale,datazione
118,1,4,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
316,1,3-4,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
317,1,3,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
331,1,3,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
333,1,0,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
362,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
365,1,4,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
405,1,4,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
411,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
429,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
437,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
446,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
448,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
463,1,5-6-7,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
481,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
482,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
483,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
485,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
487,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
488,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
492,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
531,1,5-6-7,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
536,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
537,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
546,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
547,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
548,1,6,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
549,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
550,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
551,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
555,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
556,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
559,1,6,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
560,1,0,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
564,1,6,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
568,1,6,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
569,1,4,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
571,1,4,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
572,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
573,1,4,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
576,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
584,1,4,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
595,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
596,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
597,1,5,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
598,1,4,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
601,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
602,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
603,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
604,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
605,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
608,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
609,1,A,5,1,5,1,Late Umm an-Nar (-2200 : -2000)
