us,area,settore,rapporti,osservazioni
349,1,5,"[['Covered by', '461', '1', 'Al-Khutm'], ['Covers', '328', '1', 'Al-Khutm'], ['Covers', '348', '1', 'Al-Khutm'], ['Covers', '471', '1', 'Al-Khutm']]",""
404,1,"",[],""
419,1,A,"[['Covers', '383', '1', 'Al-Khutm'], ['Covers', '576', '1', 'Al-Khutm'], ['Covers', '586', '1', 'Al-Khutm']]",""
424,1,A,"[['Abuts', '362', '1', 'Al-Khutm'], ['Covered by', '327', '1', 'Al-Khutm'], ['Covered by', '407', '1', 'Al-Khutm'], ['Covered by', '437', '1', 'Al-Khutm']]",""
427,1,A,"[['Abuts', '362', '1', 'Al-Khutm'], ['Covered by', '327', '1', 'Al-Khutm'], ['Covered by', '437', '1', 'Al-Khutm']]",""
429,1,A,[],""
435,1,A,"[['Abuts', '362', '1', 'Al-Khutm'], ['Covered by', '407', '1', 'Al-Khutm'], ['Covered by', '437', '1', 'Al-Khutm']]",""
453,1,A,"[['Same as', '455', '1', 'Al-Khutm']]",""
467,1,5,"[['Same as', '349', '1', 'Al-Khutm']]",""
469,1,6,"[['Covered by', '465', '1', 'Al-Khutm'], ['Covers', '328', '1', 'Al-Khutm'], ['Covers', '464', '1', 'Al-Khutm']]",""
472,1,7,"[['Covered by', '466', '1', 'Al-Khutm'], ['Covers', '473', '1', 'Al-Khutm']]",""
473,1,7,"[['Covered by', '466', '1', 'Al-Khutm'], ['Covered by', '472', '1', 'Al-Khutm'], ['Covers', '462', '1', 'Al-Khutm'], ['Covers', '464', '1', 'Al-Khutm'], ['Same as', '474', '1', 'Al-Khutm']]",""
474,1,7,"[['Covered by', '466', '1', 'Al-Khutm'], ['Covered by', '472', '1', 'Al-Khutm'], ['Covers', '462', '1', 'Al-Khutm'], ['Covers', '464', '1', 'Al-Khutm'], ['Same as', '473', '1', 'Al-Khutm']]",""
475,1,7,"[['Same as', '466', '1', 'Al-Khutm']]",""
480,1,5,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '481', '1', 'Al-Khutm']]",""
481,1,5,"[['Covered by', '480', '1', 'Al-Khutm'], ['Covers', '463', '1', 'Al-Khutm'], ['Covers', '482', '1', 'Al-Khutm']]",""
482,1,5,"[['Covered by', '483', '1', 'Al-Khutm'], ['Covers', '485', '1', 'Al-Khutm']]",""
483,1,5,"[['Covered by', '481', '1', 'Al-Khutm'], ['Covers', '482', '1', 'Al-Khutm'], ['Covers', '485', '1', 'Al-Khutm'], ['Same as', '628', '1', 'Al-Khutm'], ['Same as', '630', '1', 'Al-Khutm']]",""
487,1,5,"[['Covered by', '485', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm'], ['Covers', '491', '1', 'Al-Khutm']]",""
489,1,5,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '498', '1', 'Al-Khutm']]",""
490,1,5,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '489', '1', 'Al-Khutm']]",""
491,1,5,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm']]",""
492,1,5,"[['Covered by', '485', '1', 'Al-Khutm'], ['Covers', '463', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm']]",""
494,1,5,"[['Covered by', '332', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm'], ['Same as', '561', '1', 'Al-Khutm']]",""
495,1,4,"[['Covered by', '484', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Covers', '359', '1', 'Al-Khutm'], ['Covers', '365', '1', 'Al-Khutm']]",""
497,1,7,"[['Abuts', '700', '1', 'Al-Khutm'], ['Covered by', '479', '1', 'Al-Khutm'], ['Covers']]",""
498,1,5,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '489', '1', 'Al-Khutm']]",""
500,1,5,"[['Covered by', '468', '1', 'Al-Khutm'], ['Covered by', '470', '1', 'Al-Khutm'], ['Covers', '504', '1', 'Al-Khutm'], ['Covers', '505', '1', 'Al-Khutm'], ['Covers', '509', '1', 'Al-Khutm'], ['Covers', '513', '1', 'Al-Khutm'], ['Covers', '542', '1', 'Al-Khutm']]",""
502,1,5,"[['Connected to', '462', '1', 'Al-Khutm'], ['Covered by', '465', '1', 'Al-Khutm']]",""
506,1,6,[],""
511,1,5,"[['Same as', '329', '1', 'Al-Khutm']]",""
516,1,5,"[['Covered by', '470', '1', 'Al-Khutm'], ['Cuts', '500', '1', 'Al-Khutm']]",""
517,1,5,"[['Covered by', '470', '1', 'Al-Khutm'], ['Fills', '516', '1', 'Al-Khutm']]",""
518,1,6,"[['Covered by', '465', '1', 'Al-Khutm'], ['Covers', '464', '1', 'Al-Khutm']]",""
521,1,6,"[['Covered by', '464', '1', 'Al-Khutm'], ['Covers', '499', '1', 'Al-Khutm'], ['Covers', '523', '1', 'Al-Khutm'], ['Covers', '525', '1', 'Al-Khutm'], ['Covers', '526', '1', 'Al-Khutm']]",""
529,1,6,"[['Abuts', '525', '1', 'Al-Khutm'], ['Abuts', '531', '1', 'Al-Khutm'], ['Covered by', '464', '1', 'Al-Khutm'], ['Covers', '522', '1', 'Al-Khutm']]",""
530,1,6,"[['Covered by', '464', '1', 'Al-Khutm'], ['Covered by', '527', '1', 'Al-Khutm'], ['Fills', '533', '1', 'Al-Khutm']]",""
533,1,6,"[['Filled by', '530', '1', 'Al-Khutm']]",""
535,1,A,"[['Covered by', '422', '1', 'Al-Khutm'], ['Covers', '389', '1', 'Al-Khutm'], ['Covers', '395', '1', 'Al-Khutm'], ['Covers', '396', '1', 'Al-Khutm'], ['Covers', '600', '1', 'Al-Khutm']]",""
538,1,5,"[['Covers', '470', '1', 'Al-Khutm'], ['Fills', '486', '1', 'Al-Khutm']]",""
539,1,6,"[['Abuts', '531', '1', 'Al-Khutm'], ['Covered by', '464', '1', 'Al-Khutm'], ['Covered by', '465', '1', 'Al-Khutm'], ['Covered by', '476', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Supports', '540', '1', 'Al-Khutm']]",""
540,1,6,"[['Abuts', '539', '1', 'Al-Khutm'], ['Covered by', '465', '1', 'Al-Khutm'], ['Covers', '464', '1', 'Al-Khutm']]",""
541,1,5,"[['Covered by', '511', '1', 'Al-Khutm']]",""
553,1,5-6,"[['Cuts', '534', '1', 'Al-Khutm'], ['Filled by', '554', '1', 'Al-Khutm']]",""
554,1,5,"[['Covered by', '328', '1', 'Al-Khutm'], ['Cuts', '534', '1', 'Al-Khutm']]",""
556,1,5,"[['Covered by', '541', '1', 'Al-Khutm'], ['Covered by', '551', '1', 'Al-Khutm'], ['Covered by', '552', '1', 'Al-Khutm']]",""
561,1,5,[],""
562,1,6,"[['Covers', '658', '1', 'Al-Khutm'], ['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '485', '1', 'Al-Khutm'], ['Covered by', '654', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Covers', '463', '1', 'Al-Khutm'], ['Covers', '655', '1', 'Al-Khutm'], ['Covers', '657', '1', 'Al-Khutm'], ['Cut by', '656', '1', 'Al-Khutm']]",""
563,1,5,"[['Abuts', '303', '1', 'Al-Khutm'], ['Covered by', '332', '1', 'Al-Khutm'], ['Covers', '494', '1', 'Al-Khutm']]",""
565,1,4,"[['Abuts', '463', '1', 'Al-Khutm'], ['Covered by', '350', '1', 'Al-Khutm']]",""
567,1,5,"[['Same as', '494', '1', 'Al-Khutm']]",""
568,1,6,"[['Cuts', '323', '1', 'Al-Khutm'], ['Filled by', '555', '1', 'Al-Khutm']]",""
570,1,4,"[['Covered by', '358', '1', 'Al-Khutm'], ['Covers', '571', '1', 'Al-Khutm']]",""
572,1,5,"[['Covered by', '494', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm']]",""
573,1,4,"[['Covered by', '571', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Covers', '598', '1', 'Al-Khutm']]",""
574,1,4,[],""
575,1,4,"[['Covered by', '350', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Covers', '365', '1', 'Al-Khutm']]",""
576,1,A,"[['Covered by', '405', '1', 'Al-Khutm'], ['Covered by', '418', '1', 'Al-Khutm'], ['Covered by', '419', '1', 'Al-Khutm']]",""
577,1,4,"[['Covered by', '350', '1', 'Al-Khutm']]",""
578,1,5,"[['Covered by', '301', '1', 'Al-Khutm'], ['Covers', '332', '1', 'Al-Khutm']]",""
579,1,7,"[['Covered by', '558', '1', 'Al-Khutm'], ['Filled by', '580', '1', 'Al-Khutm']]",""
580,1,6,"[['Covered by', '464', '1', 'Al-Khutm'], ['Covered by', '558', '1', 'Al-Khutm'], ['Covers', '557', '1', 'Al-Khutm'], ['Fills', '579', '1', 'Al-Khutm']]",""
585,1,7,"[['Covered by', '466', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm']]",""
586,1,4,"[['Abuts', '584', '1', 'Al-Khutm'], ['Covered by', '350', '1', 'Al-Khutm']]",""
587,1,5,"[['Cuts', '463', '1', 'Al-Khutm'], ['Filled by', '461', '1', 'Al-Khutm']]",""
589,1,7,"[['Covered by', '466', '1', 'Al-Khutm'], ['Covers', '590', '1', 'Al-Khutm']]",""
590,1,7,"[['Covered by', '466', '1', 'Al-Khutm'], ['Covered by', '473', '1', 'Al-Khutm'], ['Covered by', '589', '1', 'Al-Khutm']]",""
591,1,"","[['Abuts', '361', '1', 'Al-Khutm'], ['Covered by', '464', '1', 'Al-Khutm'], ['Covers', '466', '1', 'Al-Khutm']]",""
592,1,4,"[['Covered by', '366', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Covers', '361', '1', 'Al-Khutm'], ['Covers', '371', '1', 'Al-Khutm']]",""
599,1,A,"[['Covered by', '432', '1', 'Al-Khutm'], ['Covers', '362', '1', 'Al-Khutm'], ['Covers', '389', '1', 'Al-Khutm'], ['Covers', '390', '1', 'Al-Khutm'], ['Covers', '391', '1', 'Al-Khutm']]",""
600,1,A,"[['Covered by', '535', '1', 'Al-Khutm'], ['Covers', '389', '1', 'Al-Khutm'], ['Covers', '395', '1', 'Al-Khutm'], ['Covers', '396', '1', 'Al-Khutm']]",""
602,1,A,"[['Covered by', '604', '1', 'Al-Khutm'], ['Covered by', '605', '1', 'Al-Khutm'], ['Covered by', '608', '1', 'Al-Khutm'], ['Filled by', '603', '1', 'Al-Khutm']]",""
603,1,A,"[['Covered by', '605', '1', 'Al-Khutm'], ['Fills', '602', '1', 'Al-Khutm']]",""
606,1,A,"[['Abuts', '323', '1', 'Al-Khutm'], ['Supports', '389', '1', 'Al-Khutm'], ['Supports', '607', '1', 'Al-Khutm']]",""
607,1,A,"[['Abuts', '383', '1', 'Al-Khutm'], ['Abuts', '606', '1', 'Al-Khutm']]",""
610,1,A,"[['Covered by', '608', '1', 'Al-Khutm'], ['Covers', '387', '1', 'Al-Khutm'], ['Covers', '609', '1', 'Al-Khutm'], ['Covers', '611', '1', 'Al-Khutm']]",""
611,1,A,"[['Covered by', '610', '1', 'Al-Khutm'], ['Covers', '387', '1', 'Al-Khutm'], ['Covers', '609', '1', 'Al-Khutm']]",""
612,1,A,"[['Covered by', '437', '1', 'Al-Khutm'], ['Supports', '613', '1', 'Al-Khutm']]",""
613,1,A,"[['Abuts', '612', '1', 'Al-Khutm'], ['Covered by', '437', '1', 'Al-Khutm']]",""
614,1,A,"[['Covers', '320', '1', 'Al-Khutm'], ['Covers', '383', '1', 'Al-Khutm'], ['Covers', '389', '1', 'Al-Khutm'], ['Covers', '448', '1', 'Al-Khutm'], ['Covers', '594', '1', 'Al-Khutm']]",""
615,1,A,"[['Covered by', '426', '1', 'Al-Khutm'], ['Covers', '393', '1', 'Al-Khutm'], ['Covers', '394', '1', 'Al-Khutm'], ['Covers', '437', '1', 'Al-Khutm']]",""
616,1,A,"[['Covered by', '596', '1', 'Al-Khutm'], ['Covers', '323', '1', 'Al-Khutm'], ['Covers', '381', '1', 'Al-Khutm'], ['Covers', '397', '1', 'Al-Khutm'], ['Covers', '609', '1', 'Al-Khutm'], ['Covers', '618', '1', 'Al-Khutm']]",""
617,1,A,"[['Covered by', '405', '1', 'Al-Khutm'], ['Covered by', '415', '1', 'Al-Khutm'], ['Covered by', '417', '1', 'Al-Khutm'], ['Supports', '384', '1', 'Al-Khutm'], ['Supports', '385', '1', 'Al-Khutm']]",""
618,1,A,"[['Covered by', '596', '1', 'Al-Khutm'], ['Covers', '616', '1', 'Al-Khutm']]",""
619,1,A,"[['Covered by', '320', '1', 'Al-Khutm'], ['Covered by', '608', '1', 'Al-Khutm']]",""
620,1,A,"[['Abuts', '383', '1', 'Al-Khutm']]",""
621,1,5,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '630', '1', 'Al-Khutm'], ['Covered by', '634', '1', 'Al-Khutm'], ['Covered by', '636', '1', 'Al-Khutm'], ['Covered by', '641', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm']]",""
622,1,5,"[['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm']]",""
623,1,5,"[['Abuts', '640', '1', 'Al-Khutm'], ['Covered by', '479', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm']]",""
624,1,5,"[['Covers', '625', '1', 'Al-Khutm'], ['Covers', '626', '1', 'Al-Khutm'], ['Covers', '628', '1', 'Al-Khutm']]",""
625,1,5,"[['Covered by', '624', '1', 'Al-Khutm']]",""
626,1,5,"[['Covered by', '624', '1', 'Al-Khutm'], ['Covers', '485', '1', 'Al-Khutm'], ['Covers', '627', '1', 'Al-Khutm']]",""
627,1,5,"[['Covered by', '626', '1', 'Al-Khutm'], ['Covered by', '628', '1', 'Al-Khutm'], ['Covered by', '629', '1', 'Al-Khutm'], ['Covers', '632', '1', 'Al-Khutm'], ['Covers', '636', '1', 'Al-Khutm'], ['Cut by', '638', '1', 'Al-Khutm'], ['Same as', '485', '1', 'Al-Khutm'], ['Same as', '633', '1', 'Al-Khutm']]",""
628,1,"","[['Covered by', '624', '1', 'Al-Khutm'], ['Covers', '627', '1', 'Al-Khutm'], ['Covers', '630', '1', 'Al-Khutm'], ['Same as', '483', '1', 'Al-Khutm']]",""
629,1,5,"[['Covers', '627', '1', 'Al-Khutm']]",""
630,1,5,"[['Covered by', '628', '1', 'Al-Khutm'], ['Covered by', '636', '1', 'Al-Khutm'], ['Covered by', '637', '1', 'Al-Khutm'], ['Covers', '621', '1', 'Al-Khutm'], ['Covers', '631', '1', 'Al-Khutm'], ['Same as', '483', '1', 'Al-Khutm']]",""
631,1,5,"[['Covered by', '630', '1', 'Al-Khutm'], ['Covered by', '634', '1', 'Al-Khutm'], ['Covered by', '644', '1', 'Al-Khutm'], ['Covered by', '652', '1', 'Al-Khutm'], ['Covered by', '663', '1', 'Al-Khutm'], ['Covered by', '666', '1', 'Al-Khutm'], ['Covered by', '668', '1', 'Al-Khutm'], ['Covered by', '669', '1', 'Al-Khutm'], ['Covered by', '679', '1', 'Al-Khutm'], ['Covers', '711', '1', 'Al-Khutm'], ['Fills', '704', '1', 'Al-Khutm'], ['Same as', '640', '1', 'Al-Khutm']]",""
632,1,5,"[['Covers', '661', '1', 'Al-Khutm'], ['Covered by', '627', '1', 'Al-Khutm'], ['Covers', '640', '1', 'Al-Khutm']]",""
633,1,5,"[['Same as', '627', '1', 'Al-Khutm']]",""
634,1,5-6,"[['Covers', '703', '1', 'Al-Khutm'], ['Covers'], ['Covers'], ['Covers'], ['Covers'], ['Covers'], ['Covers'], ['Covers'], ['Covers', '685', '1', 'Al-Khutm']]",""
635,1,"","[['Covers', '636', '1', 'Al-Khutm'], ['Same as', '479', '1', 'Al-Khutm']]",""
636,1,5-6,"[['Covered by', '627', '1', 'Al-Khutm'], ['Covered by', '635', '1', 'Al-Khutm'], ['Covers', '621', '1', 'Al-Khutm'], ['Covers', '630', '1', 'Al-Khutm'], ['Covers', '641', '1', 'Al-Khutm']]",""
637,1,"","[['Covers', '630', '1', 'Al-Khutm'], ['Covers', '640', '1', 'Al-Khutm']]",""
638,1,6,"[['Covers', '485', '1', 'Al-Khutm'], ['Cuts', '627', '1', 'Al-Khutm']]",""
640,1,5,"[['Covered by', '485', '1', 'Al-Khutm'], ['Covered by', '632', '1', 'Al-Khutm'], ['Covered by', '634', '1', 'Al-Khutm'], ['Covered by', '637', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm'], ['Same as', '631', '1', 'Al-Khutm'], ['Supports', '623', '1', 'Al-Khutm']]",""
641,1,"","[['Covered by', '479', '1', 'Al-Khutm'], ['Covered by', '636', '1', 'Al-Khutm'], ['Covers', '488', '1', 'Al-Khutm'], ['Covers', '621', '1', 'Al-Khutm']]",Burnt root and charcoal samples were taken for c14 analysis.
642,1,"","[['Cuts', '485', '1', 'Al-Khutm'], ['Filled by', '643', '1', 'Al-Khutm']]",Buca 1
643,1,"","[['Fills', '642', '1', 'Al-Khutm']]",""
