"Indice","Periodo","Evento","Anno/Secolo"
1,"Età Contemporanea","XXI secolo","2001-2023"
2,"Età Contemporanea","XX secolo","1901-2000"
3,"Età Moderna","XIX secolo","1801-1900"
4,"Età Moderna","XVIII secolo","1701-1800"
5,"Età Moderna","XVII secolo","1601-1700"
6,"Età Moderna","XVI secolo","1501-1600"
7,"Età Medievale","XV secolo","1401-1500"
8,"Età Medievale","XIV secolo","1301-1400"
9,"Età Medievale","XIII secolo","1201-1300"
10,"Età Medievale","XII secolo","1101-1200"
11,"Età Medievale","XI secolo","1001-1100"
12,"Età Medievale","X secolo","901-1000"
13,"Età Medievale","IX secolo","801-900"
14,"Età Medievale","VIII secolo","701-800"
15,"Età Antica","VII secolo","601-700"
16,"Età Antica","VI secolo","501-600"
17,"Età Antica","V secolo","401-500"
18,"Età Antica","IV secolo","301-400"
19,"Età Antica","III secolo","201-300"
20,"Età Antica","II secolo","101-200"
21,"Età Antica","I secolo","1-100"
22,"Età Antica","Periodo Giulio-Claudio","27 a.C.-68 d.C."
23,"Età Antica","Periodo Flavio","69-96 d.C."
24,"Età Antica","Periodo dei 'buoni imperatori'","96-180 d.C."
25,"Età Antica","Crisi del III secolo","235-284 d.C."
26,"Età Antica","Tetrarchia e Dinastia Costantiniana","284-364 d.C."
27,"Impero romano","Crisi del III secolo","235-284 d.C."
28,"Impero romano","Dominato","284-305 d.C."
29,"Impero romano","Tetrarchia","293-313 d.C."
30,"Impero romano","Costantino I","306-337 d.C."
31,"Impero romano","Dinastia costantiniana","337-363 d.C."
32,"Impero romano","Dinastia valentiniana","364-392 d.C."
33,"Impero romano","Dinastia teodosiana","379-455 d.C."
34,"Impero romano d'Occidente","Caduta dell'Impero romano d'Occidente","476-476 d.C."
35,"Impero romano d'Oriente (Bizantino)","Età giustinianea","527-565 d.C."
36,"Impero romano d'Oriente (Bizantino)","Età della guerra civile","602-610 d.C."
37,"Impero romano d'Oriente (Bizantino)","Età d'oro bizantina","610-641 d.C."
38,"Impero romano d'Oriente (Bizantino)","Età dell'iconoclastia","730-843 d.C."
39,"Impero romano d'Oriente (Bizantino)","Rinascimento macedone","867-1056 d.C."
40,"Impero romano d'Oriente (Bizantino)","Comneni e Angeli","1056-1204 d.C."
41,"Impero romano d'Oriente (Bizantino)","Impero di Nicea","1204-1261 d.C."
42,"Impero romano d'Oriente (Bizantino)","Dinastia dei Paleologi","1261-1453 d.C."
43,"Impero romano d'Oriente (Bizantino)","Caduta di Costantinopoli","1453-1453 d.C."
44,"Grecia classica","Età arcaica","800 a.C.-480 a.C."
45,"Grecia classica","Età classica","480 a.C.-323 a.C."
46,"Grecia classica","Età ellenistica","323 a.C.-146 a.C."
47,"Roma repubblicana","Età regia","753 a.C.-509 a.C."
48,"Roma repubblicana","Età repubblicana","509 a.C.-27 a.C."
49,"Preistoria","Mesolitico","10000 a.C.-7000 a.C."
50,"Preistoria","Neolitico","7000 a.C.-3000 a.C."
51,"Preistoria","Età del bronzo","3000 a.C.-1200 a.C."
52,"Preistoria","Età del ferro","1200 a.C.-800 a.C."
53,"Preistoria","Paleolitico","3000000 a.C.-10000 a.C."
54,"Paleolitico","Paleolitico superiore","50000 a.C.-10000 a.C."
55,"Paleolitico","Paleolitico medio","300000 a.C.-50000 a.C."
56,"Paleolitico","Paleolitico inferiore","2600000 a.C.-100000 a.C."
